organization,reg_number,permit_date,web,address
PT TUMBUH BERSAMA NANO,007/BAPPEBTI/CP-AK/03/2022,3/22/2022 0:00,nanovest.io,"Sinarmas MSIG Tower Lt. 37, Jl. Jend Sudirman Kav .21 Kel. Setia Budi Kec. Setia Budi, Jakarta Selatan DKI Jakarta 12910"
PT. KAGUM TEKNOLOGI INDONESIA,008/BAPPEBTI/CP-AK/04/2022,4/22/2022 0:00,www.ptkagumteknologiindonesia.com,"Neo Soho @Podomoro City, Jalan Letnan Jenderal Siswondo Parman Kaveling 28, Lantai 31 Unit 05 Kel. Tanjung Duren Selatan Kec. Grogol Petamburan Jakarta Barat DKI Jakarta 11470"
PT. ASET DIGITAL BERKAT,001/BAPPEBTI/CP-AK/11/2019,11/21/2019 0:00,www.tokocrypto.com,"AXA TOWER, JL. PROFESOR DOKTOR SATRIO, KAV. 18, LANTAI 37, SUITE 3, KARET KUNINGAN, SETIABUDI KEL. SLIPI KEC. PALMERAH, JAKARTA BARAT - DKI JAKARTA 11410"
PT. ASET DIGITAL INDONESIA,005/BAPPEBTI/CP-AK/02/2022,2/11/2022 0:00,www.incrypto.co.id,"AXA Tower Lantai 36 Suite 02, Jalan Prof. Dr. Satrio Kav 18 Kel. Karet Kuningan Setiabudi Jakarta Selatan DKI Jakarta"
PT. BUMI SANTOSA CEMERLANG,012/BAPPEBTI/CP-AK/4/2022,4/28/2022 0:00,https://pluang.com/produk/pluang-crypto,"Ruko Inkopal KTC Blok F No. 42, Jl. Boulevard Bar. Raya Kel. Tebet Barat Kec. Tebet, Jakarta Selatan DKI Jakarta 12820"
PT. CIPTA KOIN DIGITAL,009/BAPPEBTI/CP-AK/05/2020,5/29/2020 0:00,koinku.id,"GRHA KARYA JODY JL. CEMPAKA BARU NO. 09 KARANG ASEM KEL. CONDONG CATUR KEC. DEPOK, SLEMAN, DI YOGYAKARTA"
PT. COINBIT DIGITAL INDONESIA,009/BAPPEBTI/CP-AK/04/2022,4/22/2022 0:00,www.coinbit.id,"MENARA STANDARD CHARTERED, JL. PROF. Dr. SATRIO 164, Lantai 29 E KEL. KARET SEMANGGI KEC. SETIA BUDI, JAKARTA SELATAN DKI JAKARTA 14340"
PT. GALAD KOIN INDONESIA,001/BAPPEBTI/CP-AK/01/2022,1/28/2022 0:00,www.galad.id,Jl. Kwitang Raya No. 8 Kel. Kwitang Kec. Senen Jakarta Pusat DKI Jakarta 10420
PT. GUDANG KRIPTO INDONESIA,013/BAPPEBTI/CP-AK/4/2022,4/28/2022 0:00,www.gudangkripto.id,"Jalan Ciputat Raya Nomor 28B Kel. Kebayoran Lama Selatan Kec. Kebayoran Lama, Jakarta Selatan DKI Jakarta 12240"
PT. INDODAX NASIONAL INDONESIA,002/BAPPEBTI/CP-AK./01/2020,1/31/2020 0:00,www.indodax.com,"MILLENNIUM CENTENNIAL CENTER LANTAI 2, UNIT AGH JL. JENDERAL SUDIRMAN NO. KAV. 25 KEL. KARET KUNINGAN KEC. SETIA BUDI, JAKARTA SELATAN DKI JAKARTA 12920"
PT. INDONESIA DIGITAL EXCHANGE,008/BAPPEBTI/CP-AK/05/2020,5/29/2020 0:00,https://digitalexchange.id,"CENTENNIAL TOWER LT. 12, JL. JEND. GATOT SUBROTO KAV. 24-25 KEL. KARET SEMANGGI KEC. SETIA BUDI, JAKARTA SELATAN DKI JAKARTA 12950"
PT. KRIPTO MAKSIMA KOIN,003/BAPPEBTI/CP-AK/01/2022,1/28/2022 0:00,kriptomaksima.com,"TCC BATAVIA TOWER I LANTAI 42, JALAN K.H. MAS MANSYUR KAV. 126 KEL. KARET TENGSIN KEC. TANAH ABANG JAKARTA PUSAT DKI JAKARTA 10250"
