organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
"PT Pan Indonesia Bank, Tbk (PT Bank Panin)",,"Gedung Panin Centre Lt. 1-2, Jl. Jend. Sudirman Kav. 1 Jakarta",,QRIS,24/303/DKSP/Srt/B,8/8/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
Lembaga Pelatihan Kerja Alfamart Learning Center,,"Alfa Tower Lantai 19, Alamat Sutera, Jl. Jalur Sutera Barat Kav. 7-9, Kota Tangerang, Banten 15143",,Job Training Institute,24/159/DPSP-GESK/Srt/B,7/27/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Citra Abdi Valasindo,,"Wisma Bumiputera Lt. 2/M, Jl. Jendral Sudirman Kav. 75, Kel. Setiabudi, Kec. Setiabudi, Jakarta Selatan 12910",,Non Bank Money Changer Operators,24/37/KEP.PBI/Jkt/2022,7/8/2022,KPwBI Provinsi DKI Jakarta,7/11/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1424.48-000/Jkt,,
PT Dewata Inter Valasindo,,"Jl. Bulungan I No. 64, Gedung Ayam Bulungan Lt. 2, Kebayoran Baru, Jakarta Selatan 12130",,Non Bank Money Changer Operators,24/39/KEP.PBI/Jkt/2022,7/8/2022,KPwBI Provinsi DKI Jakarta,7/18/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1423.47-000/Jkt,,
PT Luxury Valuta Perkasa,,"Jalan Panglima Polim Raya No. 105, Kel. Melawai, Kec. Kebayoran Baru, Jakarta Selatan 12160",,Non Bank Money Changer Operators,24/40/KEP.PBI/Jkt/2022,7/8/2022,KPwBI Provinsi DKI Jakarta,7/12/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1422.46-001/Jkt,,
PT Valuta Sukses Mandiri,,"Jl. Raya Sawangan No. 24, Mampang, Pancoran Mas, Depok",,Non Bank Money Changer Operators,24/38/KEP.GBI/Jkt/2022,7/8/2022,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1425.49-001/Jkt,,
Lembaga Pelatihan Kerja Ikatan Bankir Indonesia - Banking Competency Center,,"Menara IBI Lantai 2, Jl. RS. Fatmawati No.2-4 Cilandak, Jakarta Selatan 12430 ",021-75901547,Job Training Institute,24/136/DPSP-GESK/Srt/B,7/1/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
"PT Bank MNC Internasional, Tbk (d/h PT Bank ICB Bumiputera)",,"Gedung MNC Financial Center Lt. 6,7,8, Jl. Kebon Sirih Raya No. 27, Jakarta Pusat 10340",,QRIS,24/247/DKSP/Srt/B,6/30/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT Usaha Garda Arta,,Jakarta,,Registered PJPUR as Foreign Banknote Carriers,24/7/Kep.Kadep/DPU/2022,6/29/2022,,,,Berizin (Telah Operasional),,,
PT Usaha Garda Arta,,Jakarta,,Rupiah Currency Management Services Providers,24/7/Kep.Kadep/DPU/2022,6/29/2022,,,,Berizin (Telah Operasional),,,
Lembaga Pelatihan Kerja BRI Corporate University,,"Gedung BRI Corporate University, Jl. RM Harsono, Ragunan, Pasar Minggu, Jakarta Selatan",021-29712000,Job Training Institute,24/130/DPSP-GESK/Srt/B,6/27/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
Lembaga Pelatihan Kerja OCBC NISP Campus,,"Gedung OCBC NISP Tower, Jl. Prof Dr. Satrio Kav 25 Jakarta Selatan",021-25533888,Job Training Institute,24/131/DPSP-GESK/Srt/B,6/27/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Sahabat Kirim Digital,,"Foresta Business Loft 2 No. 31, Jl. BSD Raya Utama No. 21, Kel. Pagedangan, Kec. Pagedangan, Kab. Tangerang, Banten 15339",,Payment Service Provider - License Category 3,24/327/Sr/B/7-001,6/21/2022,KPwBI Provinsi Banten,,Remittance Services,Berizin (Telah Operasional),327.7-001/Sr,,
Lembaga Pelatihan Kerja Permata Learning Center,,"Gedung Metropolitan Tower Lt. 5A, Jl. RA Kartini Kav. 15 TB Simatupang Cilandak, Jakarta Selatan",,Job Training Institute,24/122/DPSP-GESK/Srt/B,6/16/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Mitra Pembayaran Elektronik,,"Jl. Ruko Villa Bukit Mas RE No.7 Dukuh Pakis, Surabaya 60225",,QRIS,24/204/DKSP/Srt/B,6/14/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT Midazpay Digital Indonesia,,"Neo Soho Podomoro City, Suite 1610 Jl. Letjen S. Parman Kav. 28, Kec. Grogol Petamburan JAKARTA BARAT 11470",,QRIS,24/199/DKSP/Srt/B,6/13/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
Lembaga Pelatihan Kerja CIMB Niaga,,"Gedung CIMB Niaga, Jl. Jend. Sudirman Kav. 58 RT 5 RW 3 Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan",021-2505252,Job Training Institute,24/115/DPSP-GESK/Srt/B,6/10/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Bank Lampung,,"Jl. Wolter Monginsidi No. 182, Teluk Betung 35215",,QRIS,24/146/DKSP/Srt/B,5/30/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT. Wahana Pembayaran Digital,,"Podomoro Avenue GSA B/9/BS, Jl. Letjen S. Parman Kav.28, RT.12 / RW.6, Tanjung Duren Selatan, Grogol Petamburan, Kota Adm. Jakarta Barat",,Payment Service Provider - License Category 2,24/143/DKSP/Srt/B,5/30/2022,Departemen Kebijakan Sistem Pembayaran,7/28/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Wahana Pembayaran Digital,,"Podomoro Avenue GSA B/9/BS, Jl. Letjen S. Parman Kav. 28, RT12/RW6, Tanjung Duren Selatan, Grogol Petamburan, Kota Adm. Jakarta Barat",,Payment Service Provider - License Category 2,24/143/DKSP/Srt/B,5/30/2022,Departemen Kebijakan Sistem Pembayaran,7/28/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
Maybank Academy,,"Wisma Kobel Lt. 3 & 5
Jl. H.R. Rasuna Said Kav. B4, Kuningan Timur, Setiabudi, Jakarta Selatan 12910",021 - 5221533,Job Training Institute,24/110/DPSP-GESK/Srt/B,5/27/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Cakrawala Global Valasindo,,"Jl. Bakar Batu No. 16B, Kel. Kamboja, Kec. Tanjungpinang Barat, Kota Tanjungpinang",,Non Bank Money Changer Operators,24/13/KEP.GBI/Btm/2022,5/27/2022,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1420.197-000/Btm,,
Lembaga Pelatihan Kerja Bank Syariah Indonesia,,"Graha Mandiri. Jl. Imam Bonjol No.61, Jakarta Pusat",021-2301807,Job Training Institute,24/102/DPSP-GESK/Srt/B,5/20/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT BPD Papua,,"Jl. A. Yani No. 5-7, Jayapura 99111",,QRIS,24/135/DKSP/Srt/B,5/13/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT Allo Bank Indonesia Tbk,,"ASEAN Tower Lt. 1 dan 3, Jl. KH. Samanhudi No. 10, Jakarta Pusat",,QRIS,24/133/DKSP/Srt/B,5/13/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
