organization,prev_organization,address
PT Ajaib Sekuritas Asia,"PT Primasia Unggul Sekuritas PT Primasia Securities
PT Manwell Setra","Neo Soho @ Podomoro City Lt. 30-03,  Jl. Letjen S. Parman, Kav.28, Jakarta Barat 11470, Telp. (021)30003606, Fax."
PT Aldiracita Sekuritas Indonesia,PT Aldiracita Corpotama,"Menara Tekno Lantai 9,  Jl. Fachrudin No. 19, Kel. Kampung Bali, Kec. Tanah Abang, Jakarta Pusat
10250  Telp. (021) 39705858  Fax. (021) 39705850"
PT Amantara Sekuritas Indonesia,"PT Amantara Securities
PT Kwik Tjandra Martoatmodjo","Sinar Mas Land Plaza Menara 3 Lantai 11, Jl. M.H Thamrin No. 51, Jakarta 10350, Telp. (021) 3929601-
218-228, Fax. (021) 3929638-9588"
PT Anugerah Sekuritas Indonesia,PT Anugerah Securindo Indah,"Komp. Ruko Cempaka Mas  Blok M No. 1,2,3 Cempaka Putih, Jalan Letjen Suprapto - Cempaka Mas,
Jakarta Pusat 10640  Telp. (021) 42800433  Fax. (021) 42800432"
PT Artha Sekuritas Indonesia,PT Artha Securities Indonesia,"Rukan Mangga Dua Square Blok F No.40, Jalan Gunung Sahari Raya No.1
Kel. Ancol  Kec. Pademangan  Jakarta Utara 14420  Telp. (021) 6231 2626  Fax. (021) 6231 2525"
PT Bahana Sekuritas,"PT Bahana Securities
PT Rekaprima Sekuritas","Graha CIMB Niaga Lantai 19, Jalan Jenderal Sudirman Kav. 58, Jakarta 12190, Telp. (021) 2505080, Fax.
(021) 2505070-71"
PT Batavia Prosperindo Sekuritas,,"Plaza Chase  Lantai 12, Jalan Jenderal Sudirman Kav.21, Jakarta 12920, Telp. (021) 5207374, Fax. (021)
5206936"
PT BCA Sekuritas,PT Dinamika Usaha Jaya,"Menara BCA, Grand Indonesia, 41st Floor, Suite 4101 , Jalan M.H. Thamrin No. 1 , Jakarta 10310, Telp.
(021) 2358 7222  Fax. (021) 2358 7300  (021) 2358 7250"
PT Binaartha Sekuritas,PT Binaartha Parama,"Gedung Setiabudi Atrium Lantai 5 Suite 502a-503, Jalan HR Rasuna Said Kav. 62, Jakarta 12920, Telp.
(021) 5206678, Fax. (021) 5210325"
PT BNC Sekuritas Indonesia,"PT Bloom Nusantara Capital
PT Sekuritas Indo Pasifik Investasi","Wisma KEIAI Lantai 26, Jalan Jenderal Sudirman Kav. 3, Jakarta 12190, Telp. (021) 21888999, Fax.
(021) 57850300"
PT BNI Sekuritas,PT BNI Securities,"Sudirman Plaza Indofood Tower Lantai 16, Jalan Jenderal Sudirman Kav. 76 - 78, Jakarta 12910, Telp.
(021) 25542113; (021) 25543946  Fax. (021) 57935831"
PT BNP Paribas Sekuritas Indonesia *),"PT BNP Paribas Securities Indonesia PT BNP Paribas Peregrine
PT BNP Prime Peregrine","Sequis Tower Lantai 28, Jl. Jendral Sudirman Kav. 71, SCBD Lot. 11B, Jakarta  12190, Telp. (021) 50814700, Fax."
PT BRI Danareksa Sekuritas,PT Danareksa Sekuritas,"Gedung BRI II Lantai 23, Jl. Jend Sudirman Kav. 44-46, Jakarta 10210, Telp. (021) 5091 4100, Fax. (021)
2520 990"
PT Buana Capital Sekuritas,"PT Buana Capital
PT Artadwipa Persana","District 8, Treasury Tower (Tower 1) Lt 39
SCBD Lot 28, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021) 5150203, Fax. (021)
5150241"
PT Bumiputera Sekuritas,"PT Bumiputera Capital Indonesia PT Ficor Sekuritas Indonesia
PT Ficoritas","Wisma Bumiputera Lantai 17, Jalan Jenderal Sudirman Kav. 75, Jakarta 12190, Telp. (021) 52960155,
52960150, Fax. (021) 52960148"
PT Capital Bridge Sekuritas,PT Capital Bridge Indonesia,"Ruko CBD Ciledug, Blok A2/12, Jalan HOS Cokroaminoto No. 39, Ciledug, Tangerang 15157, Telp. (021)
29042091  Fax. (021) 29042095"
PT Carmel Sekuritas Nusantara,,"Rukan Gading Bukit Indah Blok A No. 21, Kelapa Gading Barat, Kelapa Gading,, Jakarta Utara 14240,
Telp. , Fax."
